Name;Value;Error;Frequency;ChiPrimeMol;ChiBisMol;FrequencyModel;ChiPrimeModel;ChiBisModel;Name;Value;Error;Frequency;ChiPrimeMol;ChiBisMol;FrequencyModel;ChiPrimeModel;ChiBisModel
T;5.0;0.0;1.00057637691498;1.7243413716756166;0.005772448575740399;1.00057637691498;1.7054946503023813;0.12682488509350648;T;8.5;0.0;1.00057637691498;1.0125660033363566;0.0020978477522781164;1.00057637691498;1.017555595844785;0.020963669402418405
H;-0.0;0.0;1.30083453655243;1.7210501586912663;0.015721394084961135;11.081792318459717;9.383896176127467e-05;8.119963300409316e-05;H;-0.0;0.0;1.30083453655243;1.0169584998283683;0.0021480816007723833;8.742349920850819;0.12636480970840183;1.8642813296120844e-05
alpha;0.130765;0.07682724788589229;1.70109140872955;1.7162868717755166;0.0138322353363378;21.163008260004457;2.4797121201159127e-09;2.145715518535749e-09;alpha;0.013168;0.00930424108973656;1.70109140872955;1.0167829365823715;0.003469384131503016;16.484123464786656;0.12635700001276545;3.047287411596414e-11
beta;0.522425;0.1270203384090962;2.22107553482056;1.7159974376352165;0.026396718734763836;31.244224201549194;6.552685693573175e-14;5.6700934220259055e-14;beta;0.757425;0.08318229160051063;2.22107553482056;1.0118246684915984;0.00111071502115106;24.225897008722495;0.12635700000000002;4.980985510353766e-17
tau;-2.744606;0.14356646937291007;2.90091037750244;1.7145489651314334;0.034601051584185666;41.32544014309393;1.7315594600856982e-18;1.4983328002605357e-18;tau;-3.326286;0.030933953652474734;2.90091037750244;1.0202378296204733;0.005872294744223667;31.967670552658333;0.126357;8.141738307958465e-23
chiT;1.746667;0.07829948755269997;3.79571866989136;1.7191455634742498;0.04497149890577183;51.40665608463867;4.575678285245688e-23;3.959372471034975e-23;chiT;0.892205;0.05515423347800615;3.79571866989136;1.0169105188249117;0.008233133879219832;39.70944409659417;0.126357;1.3308190224101116e-28
chiS;0.0;0.07945688394555832;4.92219018936157;1.7127122669808166;0.059409991230597835;61.4878720261834;1.2091315517997034e-27;1.0462715867705479e-27;chiS;0.126357;0.05526033286629599;4.92219018936157;1.015099050390715;0.011945569205132602;47.451217640530004;0.126357;2.175308519407175e-34
;;;6.42475366592407;1.7084545492652832;0.07672637356843533;71.56908796772814;3.1951527586015124e-32;2.764792252539016e-32;;;;6.42475366592407;1.0149504087939634;0.01422274379157425;55.192991184465846;0.126357;3.555680430563614e-40
;;;8.4070463180542;1.7197989182013498;0.09664110251534383;81.65030390927288;8.443250972653416e-37;7.306015279736437e-37;;;;8.4070463180542;1.0198825402078733;0.0168595167903455;62.93476472840168;0.126357;5.811986305160394e-46
;;;10.9381999969482;1.7078966461047502;0.12823061213795717;91.73151985081762;2.2311448739124802e-41;1.9306282133394225e-41;;;;10.9381999969482;1.0183451609808882;0.023702326343015;70.67653827233752;0.126357;9.50006207560591e-52
;;;14.2939481735229;1.6978454115249335;0.16398060249023746;101.81273579236236;5.895842092707171e-46;5.101721191961068e-46;;;;14.2939481735229;1.0197793425705683;0.030889504041215335;78.41831181627336;0.126357;1.5528457002768816e-57
;;;18.6082801818848;1.6805038446070502;0.20794956541190168;111.89395173390709;1.5579873090528055e-50;1.3481393745658228e-50;;;;18.6082801818848;1.0187066031065766;0.040101715270765996;86.1600853602092;0.126357;2.5382252765066006e-63
;;;24.2203006744385;1.64976875938788;0.2587206414916433;121.97516767545183;4.11701062715355e-55;3.5624835322606044e-55;;;;24.2203006744385;1.01620900461993;0.05127872356727017;93.90185890414503;0.126357;4.148891002594949e-69
;;;31.6244335174561;1.6030944572334533;0.31608193728914163;132.05638361699656;1.0879277645978086e-59;9.413929417880596e-60;;;;31.6244335174561;1.012664178630965;0.06639412794059217;101.64363244808087;0.126357;6.781626796776589e-75
;;;41.2399711608887;1.5385788125131865;0.37399708616033667;142.1375995585413;2.8748694821832483e-64;2.4876484700155753e-64;;;;41.2399711608887;1.0073331347439598;0.08469537041084883;109.38540599201671;0.126357;1.1085001264674009e-80
;;;53.7754707336426;1.4613899260828818;0.43143971633648;152.21881550008604;7.596896419537759e-69;6.573657646738795e-69;;;;53.7754707336426;0.9997455963912316;0.10839558303755999;117.12717953595255;0.126357;1.811914113236462e-86
;;;70.1553497314453;1.368504276455025;0.48035535103691496;162.30003144163078;2.0074940990139757e-73;1.7371013379657462e-73;;;;70.1553497314453;0.9911486014747284;0.139366797323943;124.86895307988839;0.126357;2.961689110679614e-92
;;;91.609992980957;1.2619418662956117;0.516250159715845;172.38124738317552;5.304840733659951e-78;4.5903228012785e-78;;;;91.609992980957;0.9754500562523384;0.17789397834001164;132.61072662382423;0.126357;4.8410696314135786e-98
;;;119.384170532227;1.1506782179129416;0.5360906494334132;182.46246332472026;1.4018140936663707e-82;1.2130013925735281e-82;;;;119.384170532227;0.9497576282382684;0.22259423221682667;140.35250016776007;0.126357;7.913036885500221e-104
;;;155.751602172852;1.0373867350387282;0.5403824147856784;192.543679266265;3.7043199821871122e-87;3.2053788852834303e-87;;;;155.751602172852;0.9089485556715551;0.27083402512331334;148.0942737116959;0.126357;1.2934363171514729e-109
;;;203.027557373047;0.926064327454425;0.5282372030856199;202.62489520780974;9.78873489175843e-92;8.4702737038268e-92;;;;203.027557373047;0.8493873803484898;0.3176368496517217;155.83604725563174;0.126357;2.1142041048638537e-115
;;;264.651092529297;0.8201508785224133;0.5052254841911966;212.70611114935446;2.5866915180625884e-96;2.238285681207319e-96;;;;264.651092529297;0.7729498090798116;0.35427548307039164;163.57782079956758;0.126357;3.4558013701570247e-121
;;;345.685852050781;0.7237879425593085;0.4736985326661333;222.7873270908992;6.835380755126983e-101;5.914711809647881e-101;;;;345.685852050781;0.68364921674349;0.37611894080951835;171.3195943435034;0.126357;5.6487276145688026e-127
;;;451.068145751953;0.6364886528626584;0.43813058684200834;232.86854303244394;1.806262159260351e-105;1.5629736670753771e-105;;;;451.068145751953;0.5911428082019867;0.38007751176081167;179.06136788743925;0.126357;9.23320533961827e-133
;;;588.290649414062;0.562577317765285;0.4037359631635866;242.94975897398868;4.7730815661272735e-110;4.1301871715646845e-110;;;;588.290649414062;0.5057258953479433;0.36836048828161666;186.80314143137508;0.126357;1.5092262658173548e-138
;;;767.436157226563;0.500492000880595;0.36425715705674;253.03097491553342;1.261295738279456e-114;1.091409691122825e-114;;;;767.436157226563;0.41336822247749666;0.3396412718834133;194.54491497531092;0.126357;2.4669265305511942e-144
;;;999.040954589844;0.48591148820406505;0.4248831027404283;263.11219085707813;3.3329975978028305e-119;2.884070538201671e-119;;;;;;;202.28668851924675;0.126357;4.032348657701863e-150
;;;;;;273.1934067986229;8.807508540472737e-124;7.621210382294338e-124;;;;;;;210.02846206318262;0.126357;6.5911309055633e-156
;;;;;;283.2746227401676;2.327400618039628e-128;2.0139191091842888e-128;;;;;;;217.77023560711845;0.126357;1.0773623588151842e-161
;;;;;;293.3558386817124;6.150199698313889e-133;5.321818943301018e-133;;;;;;;225.5120091510543;0.126357;1.7610174472672708e-167
;;;;;;303.4370546232571;1.6252017824502474e-137;1.4063006173444228e-137;;;;;;;233.25378269499012;0.126357;2.8784952659662453e-173
;;;;;;313.51827056480187;;;;;;;;;240.99555623892596;0.126357;4.7050839893985094e-179
;;;;;;323.5994865063466;;;;;;;;;248.7373297828618;0.126357;7.690759685813856e-185
;;;;;;333.6807024478913;;;;;;;;;256.47910332679766;0.126357;1.2571036920532055e-190
;;;;;;343.76191838943606;;;;;;;;;264.2208768707335;0.126357;2.0548161132753663e-196
;;;;;;353.8431343309808;;;;;;;;;271.9626504146693;0.126357;3.3587279124758943e-202
;;;;;;363.92435027252554;;;;;;;;;279.70442395860516;0.126357;5.490054860463099e-208
;;;;;;374.00556621407026;;;;;;;;;287.446197502541;0.126357;8.973844609127008e-214
;;;;;;384.086782155615;;;;;;;;;295.18797104647683;0.126357;1.4668321012362418e-219
;;;;;;394.16799809715974;;;;;;;;;302.92974459041267;0.126357;2.3976305663114906e-225
;;;;;;404.2492140387045;;;;;;;;;310.6715181343485;;
;;;;;;414.3304299802492;;;;;;;;;318.41329167828434;;
;;;;;;424.41164592179393;;;;;;;;;326.1550652222202;;
;;;;;;434.4928618633387;;;;;;;;;333.896838766156;;
;;;;;;444.5740778048834;;;;;;;;;341.63861231009184;;
;;;;;;454.6552937464282;;;;;;;;;349.3803858540277;;
;;;;;;464.7365096879729;;;;;;;;;357.1221593979635;;
;;;;;;474.81772562951767;;;;;;;;;364.86393294189935;;
;;;;;;484.8989415710624;;;;;;;;;372.6057064858352;;
;;;;;;494.9801575126071;;;;;;;;;380.347480029771;;
;;;;;;505.06137345415186;;;;;;;;;388.08925357370686;;
;;;;;;515.1425893956966;;;;;;;;;395.8310271176427;;
;;;;;;525.2238053372413;;;;;;;;;403.5728006615785;;
;;;;;;535.3050212787861;;;;;;;;;411.31457420551436;;
;;;;;;545.3862372203308;;;;;;;;;419.05634774945025;;
;;;;;;555.4674531618756;;;;;;;;;426.7981212933861;;
;;;;;;565.5486691034203;;;;;;;;;434.5398948373219;;
;;;;;;575.629885044965;;;;;;;;;442.28166838125776;;
;;;;;;585.7111009865098;;;;;;;;;450.0234419251936;;
;;;;;;595.7923169280544;;;;;;;;;457.76521546912943;;
;;;;;;605.8735328695992;;;;;;;;;465.50698901306527;;
;;;;;;615.954748811144;;;;;;;;;473.2487625570011;;
;;;;;;626.0359647526888;;;;;;;;;480.99053610093694;;
;;;;;;636.1171806942334;;;;;;;;;488.73230964487277;;
;;;;;;646.1983966357782;;;;;;;;;496.4740831888086;;
;;;;;;656.279612577323;;;;;;;;;504.21585673274444;;
;;;;;;666.3608285188676;;;;;;;;;511.9576302766803;;
;;;;;;676.4420444604124;;;;;;;;;519.6994038206161;;
;;;;;;686.5232604019571;;;;;;;;;527.441177364552;;
;;;;;;696.6044763435019;;;;;;;;;535.1829509084878;;
;;;;;;706.6856922850466;;;;;;;;;542.9247244524237;;
;;;;;;716.7669082265913;;;;;;;;;550.6664979963595;;
;;;;;;726.8481241681361;;;;;;;;;558.4082715402953;;
;;;;;;736.9293401096808;;;;;;;;;566.1500450842311;;
;;;;;;747.0105560512255;;;;;;;;;573.891818628167;;
;;;;;;757.0917719927703;;;;;;;;;581.6335921721028;;
;;;;;;767.1729879343151;;;;;;;;;589.3753657160387;;
;;;;;;777.2542038758597;;;;;;;;;597.1171392599745;;
