[Data]

Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16

,3823515138.7955,1.7995423078537,-0.252101629972458,,,5,,,,26.7500001937151,,,,,3.32849546287524E-6,1.00256787362661E-7,-0.345193638699572,0.028125450480089,1.10949387291731E-6,3.34187901224171E-8,1.10947373688489E-6,1.19655144547545E-8,-6.68440002764114E-9,3.12032369647642E-8,3.00001247787272,1.00057637691498,33.9804144735361,34,1,3,0.0110393843096612,8.91199921418959E-5,0.0261649210005999,178.077026367187,1.79851424694061,1.80163812637329,-0.252101629972458,-0.252101629972458,,,2.37605786323547,0,1,,,,,,1,1,1,1.79995286464691,0,0,1.79977442515202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,3823515328.82482,1.80003583431244,-0.252101629972458,,,5,,,,26.7500001937151,,,,,3.33660850585723E-6,8.31001001077129E-8,0.142670461861707,0.0200783703261563,1.11220485865814E-6,2.77000837624584E-8,1.11220141057732E-6,1.63886572526676E-8,2.76946431723764E-9,2.2331738712017E-8,2.99999454226696,1.32110726833344,25.7359873910093,34,1,3,0.0110643890066494,0.000221366384833993,0.0261142551898956,177.559661865234,1.79871332645416,1.80127942562103,-0.252101629972458,-0.252101629972458,,,2.35971999168396,0,1,,,,,,1,1,1,1.80001270771027,0,0,1.79998534732724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,3823515479.79505,1.80042481422424,-0.252101629972458,,,5,,,,26.7500001937151,,,,,3.25249154188864E-6,9.60682583587809E-8,-0.530936024314756,0.0185943427717587,1.08416189005651E-6,3.20226949756229E-8,1.08411534214974E-6,2.4879474948067E-8,-1.00463309950834E-8,2.01609702100442E-8,3.0000054159062,1.73988473415375,19.541524408246,33,1,3,0.0107866529529968,0.000136943413277552,0.0260875206440687,176.882446289062,1.79575145244598,1.80176961421967,-0.252101629972458,-0.252101629972458,,,2.35317015647888,0,1,,,,,,1,1,1,1.80095052719116,0,0,1.79990063607693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,3823515605.96736,1.79988521337509,-0.252101629972458,,,5,,,,26.7500001937151,,,,,3.28776477140956E-6,6.40315797422686E-8,0.873713396965458,0.0119915327585794,1.09591829725576E-6,2.13437957763803E-8,1.09579087875478E-6,1.68218861898107E-8,1.67112027632312E-8,1.31370378381462E-8,3.00000901494419,2.30147647857666,14.7731251292332,34,1,3,0.0108942057036423,0.000470211629840506,0.0260533038526773,175.993713378906,1.79912996292114,1.80114686489105,-0.252101629972458,-0.252101629972458,,,2.34651470184326,0,1,,,,,,1,1,1,1.79988813400269,0,0,1.79998662235501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,3823515714.37817,1.79979103803635,-0.252101629972458,,,5,,,,26.7500001937151,,,,,3.27384923385451E-6,8.45785293012756E-8,0.227490463423604,0.0179036537125214,1.09128225416609E-6,2.81928218182727E-8,1.09127365239952E-6,2.03252905051224E-8,4.33287853943735E-9,1.9537598827882E-8,3.00000226463523,3.0215425491333,12,36,1,3,0.0108495028379949,0.000427317875321069,0.0259655434638262,174.799911499023,1.79862666130066,1.80131185054779,-0.252101629972458,-0.252101629972458,,,2.34196519851685,0,1,,,,,,1,1,1,1.79979753494263,0,0,1.79996720260503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
